"-93.236278,33.290593"
"7.572021,49.413957"
"7.087126,50.754782"
"7.566356,49.416058"
"-117.904501,33.662487"
"11.644424,52.157308"
"-89.05564,42.333143"
"-92.52739,32.989379"
"-89.054065,42.337496"
"145.126197,-38.015294"
"12.17371,55.467531"
"145.11855,-38.018921"
"8.911117,49.334853"
"4.159656,51.758296"
"-83.105301,40.090202"
"145.856112,-38.13643"
"174.732517,-36.882659"
"-80.083251,42.090038"
"144.714701,-37.867252"
"-83.10616,40.098569"
"73.782973,18.578943"
"-122.355026,49.05142"
"-104.763536,39.008799"
"-122.36016,49.052337"
"-117.881961,33.59549"
"7.740169,48.820379"
"-117.996168,33.803062"
"115.819942,-31.911562"
"-122.312561,47.614474"
"-114.005529,50.945041"
"-86.769553,37.951514"
"16.957236,49.974558"
"-86.769883,37.949241"
"73.783278,18.579377"
"-72.711253,41.800667"
"13.082092,52.394884"
"176.94549,-39.603828"
"-117.170563,34.03992"
"16.958374,49.974054"
"-117.1717,34.041281"
"-122.336154,47.705863"
"5.479426,43.335854"
"-117.169393,34.038702"
"-117.173138,34.037547"
"-117.172751,34.037476"
"151.289184,-33.739923"
"152.996812,-27.483228"
"-117.172226,34.03888"
"-87.65558,41.831242"
"-117.171601,34.038189"
"-117.171477,34.038029"
"8.595825,47.408327"
"-117.171866,34.038113"
"-117.173409,34.037682"
"-112.190108,33.570801"
"151.187362,-33.925286"
"-104.909005,39.594627"
"-111.674924,40.258644"
"151.186949,-33.924124"
"-96.746381,43.487601"
"-112.186804,33.566823"
"151.190216,-33.92497"
"-96.761124,43.496307"
"-122.447895,37.623783"
"-94.986436,33.170682"
"151.185608,-33.932452"
"-96.699719,43.499337"
"-122.001833,47.545112"
"-96.573058,43.591591"
"-96.577147,43.594377"
"4.41152,51.230793"
"145.057088,-37.901238"
"4.413709,51.227494"
"-117.949133,33.694771"
"-117.307613,33.114603"
"5.575004,52.021491"
"-117.652582,33.679109"
"13.574982,58.388274"
"-119.126417,35.326984"
"-112.789271,46.181643"
"-121.773942,37.313878"
"-112.790344,46.180952"
"-121.764607,37.301581"
"-122.250362,47.783196"
"127.771588,26.335311"
"-119.143048,35.325569"
"10.751892,59.911277"
"-78.838786,43.947516"
"142.184093,-34.197818"
"115.716408,-33.318363"
"-122.244878,47.770148"
"-76.097143,38.583167"
"-112.139453,33.546361"
"127.780179,26.340767"
"127.774935,26.339521"
"-120.626402,35.141176"
"-117.608932,33.867316"
"174.779729,-36.91509"
"-117.252026,33.170791"
"16.959543,51.127846"
"174.721059,-36.921327"
"-95.525286,29.890104"
"16.957477,51.131684"
"-111.616759,35.20465"
"-112.077649,33.481178"
"-112.07576,33.481599"
"-2.131415,52.60215"
"-112.075954,33.482981"
"-112.074854,33.483894"
"-112.070074,33.483626"
"174.815784,-41.177782"
"-123.52206,48.432824"
"-111.616797,35.202809"
"-112.081168,33.481541"
"5.725363,45.198754"
"-122.816248,38.547121"
"18.298888,59.479708"
"-117.68832,33.659686"
"-117.687192,33.656313"
"-122.767057,45.403998"
"171.040786,-44.738297"
"151.427508,-33.324139"
"-117.315271,33.895134"
"-83.445218,42.359505"
"-78.017328,33.918866"
"-97.851419,30.473218"
"144.334267,-38.24125"
"-117.312344,33.895284"
"-83.445663,42.370122"
"10.768908,59.905226"
"-117.316059,33.901292"
"151.74551,-32.902371"
"151.746268,-32.900908"
"-111.986833,43.485871"
"-117.316963,33.888622"
"6.313772,52.851959"
"6.460835,52.817403"
"-121.909196,37.44956"
"-82.301111,34.78076"
"-0.281814,51.556422"
"-111.59234,33.328204"
"-111.593907,33.320578"
"151.035737,-33.90621"
"151.036563,-33.906593"
"-1.449637,46.649606"
"-79.503583,43.857794"
"177.99764,-38.650264"
"178.009573,-38.656123"
"-115.118045,36.130228"
"-81.928458,26.493702"
"-81.920383,26.538178"
"-81.913272,26.521046"
"-120.577994,38.762796"
"115.753416,-32.350977"
"121.026136,14.6105"
"-118.234481,34.221312"
"149.719942,-34.752632"
"153.445565,-28.129895"
"23.754162,37.987188"
"23.732435,37.99408"
"23.73276,37.989023"
"-122.163468,47.504421"
"153.449548,-28.128399"
"-80.088658,40.480022"
"-117.691948,33.54186"
"9.799762,53.463883"
"9.800341,53.462344"
"-80.993105,29.19719"
"115.980874,-32.004555"
"-80.988969,29.189709"
"-77.16696,39.379816"
"-76.316958,36.946273"
"9.79907,53.457783"
"-76.316952,36.946231"
